Country/Region,Date,Cases,Deaths,Recovered
Afghanistan,2020-08-13,37424,1363,26714
Albania,2020-08-13,6971,213,3616
Algeria,2020-08-13,37187,1341,26004
Andorra,2020-08-13,981,53,858
Angola,2020-08-13,1815,80,577
Antigua and Barbuda,2020-08-13,92,3,76
Argentina,2020-08-13,276072,5362,192434
Armenia,2020-08-13,41023,809,33897
Australia,2020-08-13,22742,375,13001
Austria,2020-08-13,22594,725,20346
Azerbaijan,2020-08-13,33915,500,31269
Bahamas,2020-08-13,1089,15,138
Bahrain,2020-08-13,45726,167,42180
Bangladesh,2020-08-13,269115,3557,154871
Barbados,2020-08-13,144,7,118
Belarus,2020-08-13,69203,599,66178
Belgium,2020-08-13,76191,9916,17913
Belize,2020-08-13,296,2,32
Benin,2020-08-13,2014,38,1681
Bhutan,2020-08-13,128,0,100
Bolivia,2020-08-13,96459,3884,33720
Bosnia and Herzegovina,2020-08-13,15184,458,9156
Botswana,2020-08-13,1214,3,120
Brazil,2020-08-13,3224876,105463,2521100
Brunei,2020-08-13,142,3,138
Bulgaria,2020-08-13,13893,482,8479
Burkina Faso,2020-08-13,1228,54,997
Burma,2020-08-13,369,6,321
Burundi,2020-08-13,410,1,315
Cabo Verde,2020-08-13,3073,33,2232
Cambodia,2020-08-13,273,0,225
Cameroon,2020-08-13,18308,401,15320
Canada,2020-08-13,123180,9063,109260
Central African Republic,2020-08-13,4652,61,1728
Chad,2020-08-13,949,76,860
Chile,2020-08-13,380034,10299,353131
China,2020-08-13,89144,4700,82804
Colombia,2020-08-13,433805,14145,250494
Comoros,2020-08-13,399,7,379
Congo (Brazzaville),2020-08-13,3745,60,1625
Congo (Kinshasa),2020-08-13,9589,234,8480
Costa Rica,2020-08-13,26129,272,8412
Cote d'Ivoire,2020-08-13,16889,107,13522
Croatia,2020-08-13,6050,161,5078
Cuba,2020-08-13,3174,89,2525
Cyprus,2020-08-13,1305,20,870
Czechia,2020-08-13,19401,391,13574
Denmark,2020-08-13,15590,621,13370
Diamond Princess,2020-08-13,712,13,651
Djibouti,2020-08-13,5358,59,5167
Dominica,2020-08-13,18,0,18
Dominican Republic,2020-08-13,83134,1393,47946
Ecuador,2020-08-13,98343,6010,78957
Egypt,2020-08-13,96108,5107,56890
El Salvador,2020-08-13,21993,584,10254
Equatorial Guinea,2020-08-13,4821,83,2182
Eritrea,2020-08-13,285,0,248
Estonia,2020-08-13,2174,63,1975
Eswatini,2020-08-13,3599,65,1991
Ethiopia,2020-08-13,26204,479,11428
Fiji,2020-08-13,28,1,20
Finland,2020-08-13,7683,333,7050
France,2020-08-13,244096,30392,83612
Gabon,2020-08-13,8077,51,5920
Gambia,2020-08-13,1556,43,267
Georgia,2020-08-13,1283,17,1068
Germany,2020-08-13,222281,9217,199654
Ghana,2020-08-13,41725,223,39495
Greece,2020-08-13,6381,221,1347
Grenada,2020-08-13,24,0,23
Guatemala,2020-08-13,60284,2296,48305
Guinea,2020-08-13,8198,50,7120
Guinea-Bissau,2020-08-13,2088,29,1015
Guyana,2020-08-13,631,22,202
Haiti,2020-08-13,7781,192,5123
Holy See,2020-08-13,12,0,12
Honduras,2020-08-13,49042,1542,7032
Hungary,2020-08-13,4813,607,3561
Iceland,2020-08-13,1976,10,1852
India,2020-08-13,2461190,48040,1751555
